u_current,v_current,u_wind,v_wind,windage,sst,duration_hours,observed_area_km2,aspect_ratio,oil_density,oil_viscosity,dx_residual_meters,dy_residual_meters,uncertainty_scale
-0.2258,0.5895,-3.829,1.544,0.0325,28.52,36.98,14.81,3.55,879.0,21.2,-4642.15,6229.27,1.309
0.8113,0.4762,-0.956,11.984,0.0317,14.3,54.27,16.8,1.65,835.3,15.6,16421.49,37418.45,2.065
0.4176,0.1324,12.764,-13.497,0.0285,17.36,41.39,55.28,2.21,854.7,110.7,15982.73,-46921.03,2.228
0.1776,0.8209,-5.76,-13.328,0.0371,25.79,7.83,5.07,3.32,943.5,174.1,-5649.8,-3501.76,1.152
-0.6192,-0.5391,13.307,2.045,0.0345,20.76,14.99,36.77,2.69,870.5,93.0,10900.6,-4188.4,1.422
-0.6192,-0.7033,-14.827,16.07,0.0423,31.68,17.35,41.06,3.58,906.9,14.0,-2581.29,17520.85,1.6
-0.7954,0.6371,9.965,-3.06,0.0256,25.98,20.05,30.58,4.36,913.2,43.7,8897.99,-6310.54,1.342
0.6591,-0.1095,12.512,-6.23,0.0379,31.22,41.58,41.81,1.41,929.5,47.8,14948.49,-22873.8,1.946
0.182,0.6245,-11.455,3.841,0.0403,17.63,37.28,10.78,3.48,845.6,64.1,-19214.56,21969.91,1.689
0.3745,0.7076,-2.508,15.496,0.0402,29.55,16.22,51.23,1.81,862.7,12.6,4318.19,11274.95,1.387
-0.8629,-0.7876,-12.042,12.129,0.0427,19.78,6.73,8.83,2.45,882.8,163.4,-1144.8,7748.19,1.127
0.8458,0.6902,7.438,17.837,0.0396,31.81,14.0,24.35,1.12,871.1,95.2,11225.84,8129.33,1.499
0.5984,-0.093,1.273,-17.188,0.0436,16.84,70.91,4.98,1.48,957.6,122.4,-44787.46,-73063.53,3.042
-0.5178,0.0188,4.872,-13.937,0.0317,23.29,34.8,32.94,2.12,936.9,16.8,-4216.66,-27634.07,1.98
-0.5727,0.2279,-10.926,3.941,0.0351,28.27,62.71,40.35,2.2,887.2,14.5,-22262.34,25150.13,2.179
-0.5699,0.7675,-10.377,11.541,0.0253,21.79,61.41,56.5,4.15,943.1,107.6,-19339.57,53129.47,2.546
-0.3524,-0.8656,-16.506,-7.731,0.0251,22.43,37.81,44.49,3.6,868.7,160.3,-41607.12,-3519.94,2.225
0.0446,-0.0417,-6.406,-9.388,0.0298,31.75,51.47,32.7,4.4,930.0,97.5,-25144.69,-13632.39,2.028
-0.1225,0.3379,2.151,10.331,0.027,21.66,15.49,55.99,3.1,851.3,158.6,6252.06,7948.05,1.292
-0.3758,0.4009,12.886,-15.97,0.0302,24.87,50.19,28.97,1.85,928.1,146.9,13573.99,-58449.05,2.661
